,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
412162,Calle Arroyo del Olivar nº 6,Concordia,6,A Neruda-El Ser alado,Gta José Luis Ozores 116,Monumentos de la ciudad de Madrid,2012.572727271333
415744,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,A las víctimas del Holocausto,JARDIN TRES CULTURAS ,Monumentos de la ciudad de Madrid,5559.887276029378
448001,Paseo de la Castellana nº 298,Manuel Caldeiro,16,A los Abuelos,C Alicún ,Monumentos de la ciudad de Madrid,2633.1077671472485
164883,Calle Goya nº 1,Plaza de Colón,4,AICO,Pza Colón ,Monumentos de la ciudad de Madrid,110.12695672370249
73475,Calle Atocha nº 54,Antón Martín,13,Abogados Laboristas,C Atocha 55,Monumentos de la ciudad de Madrid,127.68408860607846
335108,Calle Sancho Dávila esquina Paseo Marqués de Zafra,Quinta Fuente del Berro,9,Abstracta I, ,Monumentos de la ciudad de Madrid,381.2364151859526
335109,Calle Sancho Dávila esquina Paseo Marqués de Zafra,Quinta Fuente del Berro,9,Abstracta II, ,Monumentos de la ciudad de Madrid,356.9319187716324
460550,Calle Beatriz de Bobadilla frente al nº 2,Reina Victoria,1,Abundancia,CALLE GUZMAN EL BUENO 137,Monumentos de la ciudad de Madrid,276.04357908055454
10759,Calle Hortaleza nº 63,Colegio Arquitectos,20,Academia de Farmacia,C Farmacia 9,Monumentos de la ciudad de Madrid,143.30713046827927
405000,Calle Caramuel nº 51,Caramuel,14,Acueducto y rejas sobre el arroyo del Barranco de la Zorra,CAMINO HUMERA ,Monumentos de la ciudad de Madrid,5625.175087658085
415753,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Ad Iesum per Mariam,AVENIDA MACHUPICHU 1,Monumentos de la ciudad de Madrid,3123.889773786949
204298,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Adelardo Ortiz de Pinedo,C Francisco y Jacinto Alcántara 1,Monumentos de la ciudad de Madrid,461.74450564016564
57355,Plaza de la Provincia nº 1,Plaza de la Provincia,12,Adhesión de España a la Comunidad Europea,PLAZA PROVINCIA 1,Monumentos de la ciudad de Madrid,42.152502280856254
465932,Avenida de la Complutense (Metro Ciudad Universitaria),Ciudad Universitaria 2,12,"Agricultor, agricultura y progreso",Avda Complutense ,Monumentos de la ciudad de Madrid,317.65604017629295
245518,Avenida del General Perón frente al nº 36,General Perón con Poeta Joan Maragall,18,"Agricultor, agricultura y progreso",PASEO CASTELLANA 101,Monumentos de la ciudad de Madrid,258.2126240361435
390669,Plaza Puerta del Ángel nº 4,Puerta del Ángel,16,"Agricultor, agricultura y progreso",C Principal de Provincias ,Monumentos de la ciudad de Madrid,1223.218344288214
207887,Calle Evaristo San Miguel nº 2,Ferraz,13,Agustín Argüelles,Pza Marqués de Cerralbo ,Monumentos de la ciudad de Madrid,46.55526280256272
78865,Calle Mesón de Paredes nº 35,Plaza de Nelson Mandela,8,Agustín Lara,C Sombrerete 15,Monumentos de la ciudad de Madrid,196.5971169104065
431890,Calle Francos Rodríguez nº 62,Francos Rodríguez,2,Agustín Rodríguez Sahagún,PARQUE AGUSTIN RODRIGUEZ SAHAGUN ,Monumentos de la ciudad de Madrid,1583.08667949678
327952,Calle Ibiza nº 18,Retiro-Ibiza,18,Agustín de Foxá,C Ibiza 1,Monumentos de la ciudad de Madrid,205.60373175778116
405012,Calle Caramuel nº 51,Caramuel,14,Al Bombero,Avda Poblados ,Monumentos de la ciudad de Madrid,4698.4019272350615
166677,Paseo de Recoletos nº 20,Biblioteca Nacional,2,Al Libro,Pº Recoletos ,Monumentos de la ciudad de Madrid,34.16527586114867
202518,Paseo de Moret nº 11,Paseo de Moret,13,Al Maestro, ,Monumentos de la ciudad de Madrid,319.232771357242
234775,Paseo de la Castellana nº 164,Castellana 164,19,Al Niño,AVENIDA ALBERTO ALCOCER 1,Monumentos de la ciudad de Madrid,78.12032214454305
207897,Calle Evaristo San Miguel nº 2,Ferraz,13,Al Pueblo del Dos de Mayo de 1808,Pza España ,Monumentos de la ciudad de Madrid,345.2922248751335
388890,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Al Siglo XXI,AVENIDA CANILLEJAS A VICALVARO 159,Monumentos de la ciudad de Madrid,3434.1327238446584
385307,Calle Antonio López nº 129,Glorieta de Cádiz,7,Al Viejo Profesor,Avda Eduardo Barreiros 17,Monumentos de la ciudad de Madrid,2181.568844690429
288536,Paseo de la Castellana nº 42,Castellana 42,8,Al otro lado del muro,Pº Castellana 41,Monumentos de la ciudad de Madrid,77.0421645134959
415772,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Albercas-acequias del Jardín Islámico,JARDIN TRES CULTURAS ,Monumentos de la ciudad de Madrid,5559.887276029378
77085,Calle Lavapiés nº 34,Jesús y María,13,Alberto Aguilera,CALLE MAGDALENA 6,Monumentos de la ciudad de Madrid,248.14971992962208
161310,Calle Hermosilla nº 70,Príncipe de Vergara,13,Alejandro Busuioceanu,C General Pardiñas 32,Monumentos de la ciudad de Madrid,55.8252966258564
290335,Calle Fernando el Católico nº 19,Fernando el Católico,18,Alejandro Muñoz Revenga,CALLE MELENDEZ VALDES 1,Monumentos de la ciudad de Madrid,147.96857941869715
335136,Calle Sancho Dávila esquina Paseo Marqués de Zafra,Quinta Fuente del Berro,9,Alexandr Pushkin,PARQUE QUINTA FUENTE DEL BERRO ,Monumentos de la ciudad de Madrid,82.78894280098196
433698,Avenida de Brasilia frente al nº 9,Avenida Brasilia,13,Alfonso R. Castelao, ,Monumentos de la ciudad de Madrid,132.4972503071833
53795,Calle Pavía nº 6,San Quintín,6,Alfonso VI, ,Monumentos de la ciudad de Madrid,276.4629480206296
53796,Calle Pavía nº 6,San Quintín,6,Alfonso VIII, ,Monumentos de la ciudad de Madrid,278.21574089507106
53798,Calle Pavía nº 6,San Quintín,6,Alfonso X El Sabio,JARDINES SABATINI ,Monumentos de la ciudad de Madrid,328.59149212606343
166693,Paseo de Recoletos nº 20,Biblioteca Nacional,2,Alfonso X El Sabio,PASEO RECOLETOS 20,Monumentos de la ciudad de Madrid,25.227894040241175
181031,Calle Alcalá nº 95,Velázquez,22,Alfonso XII,PASEO CHILE ,Monumentos de la ciudad de Madrid,448.8386260032804
467752,Calle José Antonio Novais frente al nº 12,Facultad Biología,9,Alfonso XIII,Avda Complutense ,Monumentos de la ciudad de Madrid,98.85282666594124
118305,Calle Espalter nº 1,Espalter,7,Alférez Provisional,CALLE FELIPE IV 1,Monumentos de la ciudad de Madrid,311.8668403465827
